id	type_liste	valeur
2823	ListeContenantLongueur	118.9
738	ListeContenantLongueur	120
2676	ListeContenantLongueur	16
736	ListeContenantLongueur	19
737	ListeContenantLongueur	29
730	ListeContenantLongueur	30
2837	ListeContenantLongueur	35
731	ListeContenantLongueur	40
2926	ListeContenantLongueur	42.5
2832	ListeContenantLongueur	46
734	ListeContenantLongueur	50
735	ListeContenantLongueur	55
2824	ListeContenantLongueur	59.4
732	ListeContenantLongueur	60
733	ListeContenantLongueur	80
2825	ListeContenantLongueur	84.1
1039	ListeAnthropologieEffetParoiPied	non
1038	ListeAnthropologieEffetParoiPied	oui
713	ListeContenant	bac gerbable N.E.
2925	ListeContenant	bac gerbable non-NE
710	ListeContenant	bac gerbable parois ajourées
2821	ListeContenant	boite à archive A0
2820	ListeContenant	boite à archive A1
2819	ListeContenant	boite à archive A2
712	ListeContenant	boite à archive A3
714	ListeContenant	boite à archive A4
716	ListeContenant	boîte hermétique
719	ListeContenant	boîte membrane
1894	ListeContenant	cadre numismatique
2839	ListeContenant	classeur
708	ListeContenant	flacon vissé
717	ListeContenant	gouttière
3071	ListeContenant	indéterminé
707	ListeContenant	palette
2822	ListeContenant	rouleau
718	ListeContenant	sac étanche
709	ListeContenant	sachet minigrip
720	ListeContenant	sachet papier
715	ListeContenant	scellofrais
711	ListeContenant	seau
52	ListeRelationInterMobilier	appartient au lot
51	ListeRelationInterMobilier	comporte
50	ListeRelationInterMobilier	remonte
1412	ListeLocalisationContenantEtagere	1
2327	ListeLocalisationContenantEtagere	1-1
2328	ListeLocalisationContenantEtagere	1-2
2329	ListeLocalisationContenantEtagere	1-3
2330	ListeLocalisationContenantEtagere	1-4
2347	ListeLocalisationContenantEtagere	1-5
2362	ListeLocalisationContenantEtagere	1-6
2363	ListeLocalisationContenantEtagere	1-7
2364	ListeLocalisationContenantEtagere	1-8
1421	ListeLocalisationContenantEtagere	10
2399	ListeLocalisationContenantEtagere	10-1
2400	ListeLocalisationContenantEtagere	10-2
2401	ListeLocalisationContenantEtagere	10-3
2402	ListeLocalisationContenantEtagere	10-4
2403	ListeLocalisationContenantEtagere	10-5
2404	ListeLocalisationContenantEtagere	10-6
2405	ListeLocalisationContenantEtagere	10-7
2406	ListeLocalisationContenantEtagere	10-8
1422	ListeLocalisationContenantEtagere	11
2407	ListeLocalisationContenantEtagere	11-1
2408	ListeLocalisationContenantEtagere	11-2
2409	ListeLocalisationContenantEtagere	11-3
2410	ListeLocalisationContenantEtagere	11-4
2411	ListeLocalisationContenantEtagere	11-5
2412	ListeLocalisationContenantEtagere	11-6
2413	ListeLocalisationContenantEtagere	11-7
2414	ListeLocalisationContenantEtagere	11-8
1423	ListeLocalisationContenantEtagere	12
2415	ListeLocalisationContenantEtagere	12-1
2416	ListeLocalisationContenantEtagere	12-2
2417	ListeLocalisationContenantEtagere	12-3
2418	ListeLocalisationContenantEtagere	12-4
2419	ListeLocalisationContenantEtagere	12-5
2420	ListeLocalisationContenantEtagere	12-6
2421	ListeLocalisationContenantEtagere	12-7
2422	ListeLocalisationContenantEtagere	12-8
1424	ListeLocalisationContenantEtagere	13
2423	ListeLocalisationContenantEtagere	13-1
2424	ListeLocalisationContenantEtagere	13-2
2425	ListeLocalisationContenantEtagere	13-3
2426	ListeLocalisationContenantEtagere	13-4
2427	ListeLocalisationContenantEtagere	13-5
2428	ListeLocalisationContenantEtagere	13-6
2429	ListeLocalisationContenantEtagere	13-7
2430	ListeLocalisationContenantEtagere	13-8
1425	ListeLocalisationContenantEtagere	14
2431	ListeLocalisationContenantEtagere	14-1
2432	ListeLocalisationContenantEtagere	14-2
2433	ListeLocalisationContenantEtagere	14-3
2434	ListeLocalisationContenantEtagere	14-4
2435	ListeLocalisationContenantEtagere	14-5
2436	ListeLocalisationContenantEtagere	14-6
2437	ListeLocalisationContenantEtagere	14-7
2438	ListeLocalisationContenantEtagere	14-8
1426	ListeLocalisationContenantEtagere	15
2439	ListeLocalisationContenantEtagere	15-1
2440	ListeLocalisationContenantEtagere	15-2
2441	ListeLocalisationContenantEtagere	15-3
2442	ListeLocalisationContenantEtagere	15-4
2443	ListeLocalisationContenantEtagere	15-5
2444	ListeLocalisationContenantEtagere	15-6
2445	ListeLocalisationContenantEtagere	15-7
2446	ListeLocalisationContenantEtagere	15-8
1427	ListeLocalisationContenantEtagere	16
2447	ListeLocalisationContenantEtagere	16-1
2448	ListeLocalisationContenantEtagere	16-2
2449	ListeLocalisationContenantEtagere	16-3
2450	ListeLocalisationContenantEtagere	16-4
2451	ListeLocalisationContenantEtagere	16-5
2452	ListeLocalisationContenantEtagere	16-6
